City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Jizan,SA,17.3333,42.6667,90.54,57,48,8.14,scattered clouds
187,Peru,US,40.7537,-86.0689,74.34,31,71,5.84,broken clouds
188,Sept-Iles,CA,50.2001,-66.3821,57.72,80,75,5.75,broken clouds
189,Sumenep,ID,-7.0167,113.8667,81.0,77,100,5.23,overcast clouds
190,Kidal,ML,18.4411,1.4078,101.82,10,15,13.31,few clouds
191,Upernavik,GL,72.7868,-56.1549,20.28,77,91,5.01,overcast clouds
192,Coro,VE,11.4045,-69.6734,86.43,69,35,13.15,scattered clouds
193,Semey,KZ,50.4111,80.2275,42.22,39,65,3.8,broken clouds
194,San Quintin,MX,30.4833,-115.95,71.15,77,90,5.35,overcast clouds
195,Marystown,CA,47.1666,-55.1483,57.7,63,23,9.44,few clouds
196,Muncar,ID,-8.4333,114.3333,76.64,88,100,5.64,overcast clouds
197,Bara,NG,10.3744,10.7288,80.71,69,51,3.47,broken clouds
198,Lufilufi,WS,-13.8745,-171.5986,76.78,78,68,20.58,broken clouds
199,Zhangzhou,CN,24.5133,117.6556,78.73,83,1,0.29,clear sky
200,Piotrkow Trybunalski,PL,51.4055,19.7032,58.1,10,100,13.53,overcast clouds
201,Pitelino,RU,54.5777,41.8145,48.9,87,100,7.2,overcast clouds
202,Antalaha,MG,-14.9003,50.2788,69.53,87,0,8.77,clear sky
203,Orotukan,RU,62.2667,151.7,14.14,96,100,3.74,light snow
204,Maloy,NO,61.9353,5.1136,51.53,1,100,20.22,overcast clouds
205,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,87,40,4.47,scattered clouds
206,Lithgow,AU,-33.4833,150.15,46.35,99,100,6.73,light rain
207,Luancheng,CN,37.8792,114.6517,48.36,54,66,2.15,broken clouds
208,Morondava,MG,-20.2833,44.2833,77.32,80,0,16.71,clear sky
209,Othaya,KE,-0.5652,36.9609,64.15,62,72,2.68,broken clouds
210,Dicabisagan,PH,17.0818,122.4157,77.83,89,100,3.98,overcast clouds
211,Pangody,RU,65.85,74.4859,31.66,93,47,4.45,scattered clouds
212,Solnechnyy,RU,50.7214,136.6319,31.08,55,1,7.87,clear sky
213,Siavonga,ZM,-16.5382,28.7088,88.03,24,0,9.93,clear sky
214,Avarua,CK,-21.2078,-159.775,73.45,78,20,13.8,few clouds
215,Aksu,CN,41.1231,80.2644,59.13,27,31,5.57,scattered clouds
216,Poum,NC,-20.2333,164.0167,73.04,64,16,14.36,few clouds
217,Bathsheba,BB,13.2167,-59.5167,88.41,70,75,23.02,broken clouds
218,Samarai,PG,-10.6167,150.6667,80.65,83,98,10.8,overcast clouds
219,Constitucion,CL,-35.3333,-72.4167,58.6,66,3,10.92,clear sky
