City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Gwadar,PK,79.88,clear sky,25.1216,62.3254,Sadaf Resort
100,San Patricio,US,87.66,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
101,Kilindoni,TZ,76.46,scattered clouds,-7.9139,39.6668,Bustani B&B
102,Veraval,IN,80.92,scattered clouds,20.9,70.3667,Lords Inn Somnath
105,Nsanje,MW,87.93,clear sky,-16.92,35.262,Nsanje Discovery Lodge
106,Panama City,PA,89.44,overcast clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
108,Ahuimanu,US,77.16,broken clouds,21.4447,-157.8378,Paradise Bay Resort
109,Port Blair,IN,80.35,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
112,Atuona,PF,77.5,broken clouds,-9.8,-139.0333,Villa Enata
120,Russell,US,78.96,clear sky,32.3502,-85.1999,Macs
122,Castro,BR,77.45,few clouds,-24.7911,-50.0119,CHACARA BAILLY
128,Panaba,MX,88.09,clear sky,21.2833,-88.2667,Hotel Don Fernando
130,Auki,SB,77.09,overcast clouds,-8.7676,160.7034,Auki Motel
131,Namatanai,PG,79.09,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
132,Adeje,ES,78.1,overcast clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
138,Isabela,PH,79.83,moderate rain,6.7085,121.9711,Isawad Resort
146,Makakilo City,US,75.97,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
155,Kieta,PG,77.79,light rain,-6.2167,155.6333,Uruna Bay Retreat
161,Ardmore,US,83.86,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
162,Sorong,ID,79.65,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
163,Progreso,MX,86.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
164,Bull Savanna,JM,84.22,broken clouds,17.8868,-77.5902,Big Red's
170,Sola,VU,79.68,scattered clouds,-13.8833,167.55,Leumerus Bungalows
171,Umm Bab,QA,87.13,clear sky,25.2142,50.8072,
173,Caravelas,BR,82.98,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
175,Victoria,HK,84.38,few clouds,22.2855,114.1577,Mini Central
176,Liku,ID,75.69,overcast clouds,-0.7275,119.8922,Kost annisa
180,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
182,Ghanzi,BW,86.14,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
183,Hobyo,SO,77.63,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
189,Sumenep,ID,81.0,overcast clouds,-7.0167,113.8667,Family Nur Hotel
192,Coro,VE,86.43,scattered clouds,11.4045,-69.6734,Federal
196,Muncar,ID,76.64,overcast clouds,-8.4333,114.3333,Zaky Homestay
197,Bara,NG,80.71,broken clouds,10.3744,10.7288,
198,Lufilufi,WS,76.78,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
199,Zhangzhou,CN,78.73,clear sky,24.5133,117.6556,Crowne Plaza Zhangzhou
208,Morondava,MG,77.32,clear sky,-20.2833,44.2833,La Case Bambou
210,Dicabisagan,PH,77.83,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
213,Siavonga,ZM,88.03,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
217,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
218,Samarai,PG,80.65,overcast clouds,-10.6167,150.6667,Nuli Sapi
223,Honiara,SB,76.37,overcast clouds,-9.4333,159.95,Heritage Park Hotel
224,Sao Francisco De Assis,BR,80.15,scattered clouds,-29.5503,-55.1311,Hotel Aguiar
225,Avera,US,75.38,clear sky,33.194,-82.5271,
